Name,Job title,Organization,What are you working on in the field of social and economic justice?,What do you need from the Delegate community to move this work forward?,What are you able and willing to contribute to the Delegate community?
Angela Chaudhuri (she/her),CEO,Swasti,Health Equity,"Understanding, kinship, different perspectives","Stories, perspectives. I can help facilitate crucial conversations, difficult discussions."
Lucia Di Poi (she/her),Executive Director,Haitian Center for Leadership and Excellence,"Women's leadership and economic access, Youth entrepreneurship, citizen-led development","Broader networking in the field, connections to new engaged resources, innovation, and in-kind partnerships to mentor and support emerging entrepreneurs and leaders.","Knowledge of the sector in Haiti, energy towards collaborations, field-building alliances, research capabilities"
Lisa D'Annunzio (she/her),Chief Development Officer,Asylum Access, ,"I need ideas, connections and thought-partnership! Asylum Access is deeply committed to building the movement and partnering with funders, social entrepreneurs, fellow local civil society organizations (and anyone else!) to uplift and support each other in the fight to realize human rights for forcibly displaced communities.","I've spent my entire career in the nonprofit and human rights space, including over 7 years as the fundraising and communications leader at Asylum Access (I am also a lawyer and former volunteer legal advocate at Asylum Access Tanzania). In the past 6+ years we've more than quadrupled our annual budget, expanded to include a grant-making arm that provides funding to refugee-led organizations, and become a refugee-led organization ourself! I've learned and grown in so many ways during this journey and I'm eager to share Asylum Access' story. I strive to always bring my most open and authentic self to these community experiences, and I'm willing to share any of my expertise in fundraising, comms, human rights law, inclusion, and org growth and strategy. I will also offer friendship and support. I love connecting with fellow advocates and sharing our moments of challenge and moments of success. This can be tough work, and we need to have each other's backs!"
Krista Blalock (she/her),Co-Founder and President,"Flourish Kenya, Inc.","Flourish partners with communities in rural Kenya to eradicate female-genital mutilation, child marriage, and gender-based violence through sexual and reproductive health education, crisis intervention, and community advocacy.","Leadership support, knowledge sharing, grant and funding opportunities.","I am open handed and willing to share organizational models and methods. I can contribute time and expertise to those working in rural communities, sexual and reproductive health spaces, and other topics within my scope."
Meredith Bates (she/her),Co-Founder,Delta Education Collective,"We are a self-managed, community led movement revolutionizing the quality of primary education for all, starting in Northern Uganda, currently partnering with 41 primary schools serving 20,000 pupils.","I look forward to joining this vibrant community and would love to learn from others in education, community led movements, self-managed/teal orgs, research and learning, and impact measurement. We'd also love to find partners working in or wanting to expand into Northern/rural Uganda. We also want to meet seed and growth capital funders who want to collaborate and/or advise us on how to prepare to attract resources for larger scale.","I love sharing what we’ve learned at Delta around proximate decision making, self-management/teal orgs, values driven org-culture, multiple pandemic pivots, and any relationships, connections or expertise that I can share!  Also looking for more friends based in Uganda. :)"
Nicaise Avignon (he/him),Executive Director,COFHED (Communities Organizing for Haitian Engagement and Development),"Community engagement and training, gender equity, community-led development. We support partner communities to discover, plan, and implement their own projects, thereby strengthening their own leadership and organizational skills, and learning how to leverage external relationships and resources.","Allies, Partners, collaboration","Exchange of ideas,  shared learning, conversations"
Antionette Carroll (she/her),CEO,Creative Reaction Lab,Pioneering an award-winning form of creative problem solving called Equity-Centered Community Design,,
Celia Breuer (she/her),Head of Partnerships,Trust for Indigenous Culture & Health (TICAH),I am working on supporting community action to remove barriers to equitable health and social outcomes. My role specifically focuses on partnerships and fundraising,I need new perspectives that challenge my way of thinking as well as new connections that lead to coalitions and funding,"I will contribute my kindness, my perspective and open-mindedness, and my willingness to connect others to opportunities and networks I am aware of"
Aaron Bukenya (he/him),Executive Director,BESO Foundation,Education and microfinance,"Connections and learning about Education space, microfinance and social impact investment","Grassroots experience, social impact investment"
David Berge (he/him),CEO,Underdog Foundation,"Impact investing, advising impact investment funds, investors and entrepreneurs, philanthropy.","I look forward to meeting with energetic, high-integrity change makers.","Creativity, financial advice, humor"
Greg Baird,President,The Kilgoris Project,"TKP focuses on educating children, equipping leaders and empowering girls in rural Kenya.","We look forward to creating connection, learning opportunities and funding partnerships.",If there is anything I can contribute to the community I would be happy to invest.
Adjo Asare (she/her),CEO,Alfie Designs,"Alfie designs is an ethical fashion brand with people at its heart. My apparel company manufactures high-quality products for export and creates skilled jobs for women and girls. We also empower team members and trainees with sewing, financial literacy, and other life skills. Disrupted by COVID-19, we shifted operations in 2020-21 to make PPEs for the Government of Ghana and help safeguard school children and frontline workers in health, retail, and education. We made 2 million+ masks on tight deadlines, employing 1,200+ women and girls working remotely and at our factory. We paid fair wages and provided lunch and transportation, supporting our people and their families through the worst of the pandemic","great conversations, connections and safe space to learn","my time, experience and network with delegates"
Maame Afon Yelbert-Sai (she/her),Chief Steward | Vision Keeper & Team Lead,MILT | AfriWomen Network by AWDF USA,"Impact Coaching, Dynamic Facilitation (holding space for essential and brave conversations), Thought Leadership, Joyful Connections","To leverage opportunities within the OC community to nurture and cultivate new and meaningful relationships/partnerships while deepening existing ones. Through these relationships and strategic connections, diversify resource mobilization efforts and avenues to support and enhance organizational sustainability. Learn from other delegates best practices to enhance organizational capacity and strengthen institutional growth.","With decades of seasoned experience growing a vigorous and vibrant movement that places women and girls at the forefront as solution bearers, and with a strong track record facilitating transformative leadership, impact coaching and mentorship, I am excited to contribute and share these invaluable experiences with the OC community."
Sarah Baryaija Atuhaire (she/her),CEO/Founder,AKABOXI,"Akaboxi, a digital financial inclusion system that enables small holder farmers manage and monitor their savings together. It is a social enterprise that works on the financially excluded 1.7Billion people in the whole world. I work with village savings and loan association groups (VSLAs) with over 5million unbanked population in Uganda. I have so far registered 2,936 users on Akaboxitech system.","SUPPORT IN TERMS OF NETWORKING WITH FELLOW DELEGATES, INVESTORS AND CONNECTIONS","SHARING KNOWLEDGE, EXPERIENCE AND EXPERTISE"
Topher Wilkins (he/him),CEO,Opportunity Collaboration,I am building impact communities to accelerate a more just and equitable world for all.,To be in community!,"My super-connecting powers, my whole heart, my whole self, a hand, a hug, and anything else you may need."
Eric Stephenson (he/him),Co-Chair,Cordes Foundation,"Deploying 100% of our balance sheet, both grants and investments, to advance impactful solutions that promote social and economic justice forward.",Shared wisdom and best practices.,"Time, energy, and dedication to our collective work."
John Anner (he/him),Senior Philanthropic Advisor,Movement Voter Project,"Voter rights, progressive political organizing, stopping fascism.","Connections, partnerships, funding.","30+ years as senior nonprofit executive, expertise in international development, fundraising organization-building and moving money to causes."
Susie Abadi  (she/her),Founder,Excelerator Global Inc,"I am President and Founder of Excelerator Global Inc, a recently formed Global NGO, empowering youth leadership and entrepreneurship by engaging them in social sustainable community projects, starting in Latin America. March 2022 will be our third 3 month cohort. Our Vision is that youths are thriving leaders, integral for the future of Latin America",Connections and partnerships with NGO's in Latin America with a focus on youth leadership. Also looking to add members to our Board.,Leading discussions on youth empowerment- collaborating with global leaders.
Tomas Alvarez III (he/him),Cofounder & Managing Partner,Idea2Form Collaborative Design Studio,"Idea2Form is a collaborative design studio based in Los Angeles, California, specializing in narrative change and amplifying the impact of BIPOC-led nonprofits. We offer design solutions for branding, communications, web and organization design.",Connections and referrals to new partners.,"Advice, mentorship and social capital."
Shanu Abudho (she/her),Chief Executive Officer,Northern Kenya Fund (formerly Chalbi Scholars Organization),"I support very needy and vulnerable students from Northern Kenya access high school education. I provide support to select schools with better infrastructure by hiring teachers and supporting with reading and revision materials. I provide mentorship services to girls and boys that are supported through the scholarship organization, Chalbi Scholars Organization is improving the lives of hundreds of students across Kenya and building a better society with employed graduates giving back to their communities and helping raise northern Kenya out of poverty. In the last sixteen years we have grown from a small program supporting a handful of students to a well reputed organization known across Kenya and supported by donors across the globe.","I need motivation, technical support, I need networks that will bring financial and social support . I need to interact with organizations doing similar work that I do so that I learn from them.","I will bring vast knowledge and experience of working with adolescent girls especially the ones coming from marginalized communities, I will also bring renewed energy and hope to the people working in similar field, I know its not a men achievement, I will bring hope for the ones who are on the verge of giving up- my story will motivate them to do better. I will also share about the rich African culture that I come from. I hope to take a way lessons and share knowledge as well."
Michael Kass (he/him),Founder,Story & Spirit,"I help the helpers, providing training, consulting, and coaching to organizations, teams, and leaders. I tend to work through the lens of story, going beyond communication to address organizational culture, deep exploration of personal narrative, and combining the personal with the systemic to facilitate change. As a convening designer and facilitator, More broadly, I love crafting experiences that weave together humanity, resilience, and a sense of the Sacred to invite deep change.","Connections, partnerships, and collaboration","Moderation / facilitation, connections, partnership, and collaboration"
Ange Muyubira (she/her),Founder & Executive Director,Kaz'O'zah,We are educating underserved communities to be financially independant through Fashion and Entrepreneurship,Connections with the stackholders in economic empowerment of communities to share best practices used in circular economy.,Connections with the stackholders in economic empowerment of communities to share best practices used in circular economy.
Jean Sano-Santana (no preference),Impact Advisor,Boldly Go Philanthropy,"I am an Impact Advisor at Boldly Go Philanthropy, providing philanthropic advisory and execution services to leanly staffed foundations and high-net-worth individuals. I am also a member of the Pan-American Health Organization (PAHO) Youth for Health Group, an advisory group on PAHO youth-focused programming.","I look forward to learning about collective philanthropic efforts, best practices for equitable social impact evaluation, and social enterprises.","OC2023 would allow me to share my experiences working with LGBTI+ people in the Dominican Republic, supporting philanthropists who center their giving on the most marginalized communities, and DEI work. As I am Dominican, I am happy to conduct fact overviews about the country and Dominican dance flash lessons."
Mendy Marsh (she/her),Executive Director and Co-founder,VOICE,"I'm proud to be a co-founder and the Executive Director of VOICE. Our core mission at VOICE is to highlight the experiences and needs of women and girls, ensuring their voices are at the forefront of conflict and disaster responses. We envision a world where women and girls are acknowledged and respected as the leaders that they are, both in their local communities and on the global stage. At VOICE, we prioritize collaboration, convinced that the insights of women and girls can lead aid agencies to more effective and impactful solutions.",Rest and renewal,I can help with technical support on gender equality and addressing violence against women and girls
Asayya Imaya (he/him),Founder and CEO,Uthabiti Africa,"Scaling up quality, affordable early childhood care and development in Kenya and Africa. I design and implement initiatives that dignify childcare work and enable childcare workers in Kenya and Africa to have a decent income. This ensures that children under five have a good start in life. After 4 years of existence, I am now ready for scale-up and need the connections that can help this happen","Advice, insights and sign-posts to resources that can enable me to scale the work in Kenya and in other African countries",I can share my experience in starting a social enterprise and the challenges and opportunities I have encountered so far. I can facilitate a session before or during the OC
Natalia Herbst (she/her),Social Impact Consultant,Independent,women's and youth involvement in politics,feedback about the how to influence policy framework,"Experience in youth engagement, political strategy, political campaigns, international leadership networks"
Bernadette Moffat (she/her),Executive Director,ELMA Philanthropies Services,Improving the lives of children in Africa and supporting social justice organizations in South Africa.,Collaborative thinking,Thought partnership and experience and goodwill
Isa Ellis (she/her),Senior Program Officer,Bill & Melinda Gates Foundation,Equitable Access to education and employment pathways,Connections to leaders and other investors with common interests,Thought partnership and connections
Jordan Melograna (he/him),CEO,"Block by Block Creative, LLC","I provide film and photography support to organizations working on Indigenous-led environmental conservation, disability rights, criminal justice reform, democracy protection, and science communication.","My practice is based on deep understanding of the sometimes niche issues I work on. I see this community as way to learn as much as I can inside my current issues areas, but also hope to expand to issues I haven’t been exposed to before.","I have worked in diverse range of communities and environments as a filmmaker, photographer, and communicator. I have thought deeply about the ethical decisions one must weigh when doing this work, and teach a class on this subject as well at the graduate level. I think what I may be able to offer are specific, actionable solutions to achieving truly inclusive, ethical communications."
Yessica Flores (she/her),Co-Founder,Kantaya,"I am the co founder of Kantaya. Kantaya's mission is to promote quality education and holistic development for children living in impoverished communities in Peru with two flagship programs: 1. Kantaya’s After School Program (since 2004) empowers children to achieve their dreams through an intellectual (reading comprehension, numerical and technological skills), and socio-emotional after school learning program at no cost. To date, we have impacted more than 2,000 children. 2. Podera (since 2019) train, certify and empower women form vulnerable areas as teacher's assistant with a complete curriculum to develop knowledge, technical, and socio-emotional skills to be used in the education of early childhood.","Connections, thought partnership, and funding","Experience in OC, LATAM and fundraising"
Ron Cordes,Co-Founder,Cordes Foundation,Social Entrepreneurship Impact Investing Women's Empowerment,Looking to engage with both new and existing partners,Perspectives & experience - ability to network and make connections between organizations / funders / other supporters
Marty Cordes,Co-Founder,Cordes Foundation,Economic Opportunities for Women (Philanthropic & Investment),Collaboration,Sharing perspective and experience and providing connections and networking opportunities
Lynette Rawlings (she/her),"Founder, President, and CEO",The Policy Academies,"Academies’ mission is to train, cultivate, and elevate new and diverse generations of racial equity and economic justice focused researchers and policy leaders from historically exploited communities -- and connect them to careers of impact. TPA uses its influence to carve new career pathways at leading policy institutions, create opportunities, builds networks, and cultivate communities of support.","For this first experience with OC, I would start by getting to know the delegates and their organization missions to discover where there is alignment.",I would need to learn about the community in more depth to be able to answer this question properly.
Megan Mukuria (she/her),Founder,ZanaAfrica Foundation,"I oversee the strategy for our hybrid social enterprise, making gender equity systems change through the market (quality affordable pads that support health ecosystems strengthening) and through scaling with government (we are embedding our reproductive health and life skills curriculum into public schools). Our new Nia HealthLink is a tollfree number and chatbot that answers reproductive health questions in a safe and rights-based framework and makes referrals to digital and in person healthcare partners to reduce the time between ill health and health.","We are looking for partners for our scaling work - non-profit donors to our c3 to scale the curriculum to improve reproductive health and gender norms, and two or three impact investors to invest in the business (Vitol Foundation is our anchor investor in a $925K blended raise).",Lessons learned from 23 years in leadership positions in Kenya spanning for- and non-profit
Sara Ellis Conant,Co-Founder & CEO,a)plan coaching,"I'm the co-founder and CEO of a)plan coaching, an optimized, scalable, and tech-enabled virtual coaching service for changemakers. Our consistent coaching method is proven to improve productivity, innovation, diversity & belonging, talent retention, fulfillment, and more.","I welcome conversations re: the role of coaching in building organizational effectiveness, as well as introductions to potential partners including clients and investors.",I contribute my skills as a facilitator of the Leadership Circles.  I am deeply committed to building a world that works for everyone.
Grace Francoise Nibizi (she/her),Founder & Executive Director,SaCoDé,Gender Equality & Women empowerment. Youth & women entrepreneurship Water Hygiene and sanitation. Menstrual Hygiene and Health Sexual and Reproductive Health,Make new friends who can support my work.,How to fight period poverty in underprivileged countries
Isa Laporte (she/her),CEO,ConnectED / Conectando Educación,"ConnectED is a nonprofit that contributes to improve access, quality, and relevance of education for youth in Central America. Through the Fellows Program, we harness the energy and commitment of local education leaders by nurturing, building, and mobilizing their skills and strengths to improve educational outcomes for youth in their communities. Specifically, ConnectED provides local leaders in education (Fellows) with the skills, training, and resources they need to contribute to improve educational outcomes in their communities. Fellows are supported to engage their communities in tackling pressing educational challenges through projects that make quality, relevant education possible for the next generation.","Connections, access to funds, networking, new ideas","I am able and willing to share our experience and lessons learned while implementing our Fellows Model in Nicaragua and Guatemala, including the importance of giving a voice to the communities, local solutions, localization, trust-based relationships"
Jackie Bomboma (she/her),Founder & CEO,Young Strong Mothers Foundation (YSMF),"Young Strong Mothers Foundation (YSMF) is a nonprofit organization based in Morogoro Tanzania with 7 years of social work experience. YSMF mainly focus on advancing girls education and providing a vocational training to most vulnerable young mothers. We came to understand that adolescent girls from most vulnerable families to thrive, compete with their chin up, and achieve their end goal, they not only needs a free education of not paying tuition fee or other contributions but also a full package of education materials to make them focus and be able to attend all sessions while in class. Due to national crisis on climate change, adolescent girls have been the most victim group who suffer and fail to reach their dreams due to lack of accessing water and basic needs, parents use the hardship situations at home to manipulate their girls. The drought has caused many families lacking food and fail to gets jobs in farming. Many girls have been married off to reduce the costs of education materials in homes. In a process of long distance to fetch water, girls has been raped, some of them has been forced to be in sexual relationship by their family members so that they can get money, education materials or food from men in exchange for sex. Girls has been forced to stay at home because it seems as waste of time to attend school without writing so that they can stay at home with their siblings while their parents/ caregivers go looking for food. YSMF learned all these and came up with the innovation to mitigate the effects of climate change which lead to school dropout, teenage pregnancy and forced marriage by providing holistic education materials to most vulnerable adolescent girls who are supposed to be in school. YSMF supported 2600 adolescent girls with holistic education materials in 2021 and 1646 most vulnerable young mothers with business and entrepreneurship and vocational training. The girls are trained on Life Skills, Sexual and reproductive health, personal development and leadership throughout the year also we provided sanitary pads to enable attend school even when they are in their menses.","To move this work forward I need to have an opportunity to meet and connect with new people holding various unique skills, connections and experiences to help me shape, re-building my strategies and learn other ways of providing solutions to end poverty through Fighting against Gender equality, Psycho-social support, education and vocational opportunities for girls and young women. I also need to have an opportunity to spend time with funders and decision makers whom we can share personal and professional goals and experiences to find ways to collaborate and partner. Because I need to raise $25,000 to build a safe house for the adolescent girls and young mothers who experienced various of sexual, physical and emotional abuse. I have 10 acres of land where Segal Family Foundation and The Arthur B. Schultz Foundation helped us to build a tailoring classroom which train 100 adolescent and young women dropped from formal education to learn without being discriminated and judged. Still their homes are not safe for them to reach their second chance opportunities they received. We wish to build a hostel for them to have a chance to meet with people who understand them, give them ears and motivation to stand again. I need inspiration, motivation, audience to share the impact I made in my community and the journey I am walking and to be able to learn and be empowered. This way will give me time to have self reflect, learn from others, being challenged and process all that into new steps ahead. Also to have fun with my fellow leaders around the ocean and time to laugh and share stories and meetings, this will help me relax and have a beautiful money to rest and feel fresh.","I am willing to contribute my skills, experiences and time to devote to the event and to my fellow participants and also I will collaborate with others to build new strategies, plans and share more about my country. I am ready and eager to take any task assigned."
Natalie Rekstad (she/her),Founder & CEO,"Black Fox Philanthropy, B Corp",,,
Paul Lynch,Founder & CEO,Cage Free Productions,"I believe, great stories solve problems. I run a storytelling agency, specializing in video production, storytelling, and impact strategy. We partner with social innovators to help them accelerate their impact – to build social movements around their mission. All of our work is in support of a cage free world, upheld by the pillars of human rights, social justice, and sustainability/regeneration.","Our work is only as effective as our partners. The delegate community is rich in experience and expertise that, I believe, can and should be communicated. I need open and honest dialogue to explore collaboration and find a community that invests in one another.","My time, energy, enthusiasm, expertise and vision are all at the disposal of the community while I am there."
Nathaly Vinueza (she/her),CEO & Founder,Warmi,Closing the gender gap,Fundraising and networking,Innovative thinking of how to solve issues for women
Bryan Maygers (he/him),Deputy Editor,Stanford Social Innovation Review,"Stanford Social Innovation Review is a publication dedicated to informing and inspiring practitioners in the field of social innovation by sharing new ideas, amplifying lessons learned, and connecting people across sectors.","I'm coming to OC to listen and learn from those who are doing inspiring work around the world, to better understand the most pressing challenges and concerns of people working in the sector, and to hopefully offer a platform to share some of that work.","I'm prepared to be a curious questioner, a connector, and a collaborator with those who are the true experts in their fields"
Paige Andrew (she/her),Programs Co-Manager,FRIDA The Young Feminist Fund,"FRIDA works with young feminist organisations across the global south to bring equity within philanthropy. Many of FRIDA's grantee partners work on social and economic justice and by rethinking and queering philanthropy, FRIDA makes a lot of shifts in enabling social and economic justice for young feminists. In my role, specifically, I work with directly with grantee partners as well as the team co-managing the grants process to make it as participatory, flexible and responsive as possible toward a more just grants system.","Insights on the many ways folks are working on social justice, measuring impact and thinking about capacity building for marginalised communities.","Experience in Programs, Grantmaking, Participatory processes, working with and learning from young feminists, feminist leadership"
Kimberly Osagie (she/her),"VP, Programs",Echoing Green,,,
Emily Cupo (she/her),Director of Development & Communications,StoveTeam,StoveTeam trains people throughout Central America to build and install fuel-efficient cookstoves for their communities. StoveTeam subsidizes the cost of stoves for families and focuses on affordable and equitable access to these life saving stoves.,New connections and support from leaders around the globe,"New ideas, feedback, collaboration, and support"
Michelle Urben (she/her),Board Director,Children's Environmental Literacy Foundation,"As a board director at CELF, we focus on programs that use real-world problem solving to prepare students with the holistic thinking skills and motivation to become agents of change for a healthier, more stable and sustainable future.  At the college level, many traditional fields of study have evolved to teach students the skills they’ll need to become part of the sustainable future. CELF believes sustainability education must begin earlier in students’ academic life, during formative years for shaping thinking, attitudes, values and behaviors.


At head of investor relations and business development at Apeira, we aim to democratize access to investments that are typically only available for the top 1% richest in the world and thereby doing our part to create a fairer field for growing wealth.","Openness to forge multiple paths of collaboration to achieve aligned goals. 

Energy to exchange insights and problem solve. 

Transparency and honesty at all exchanges.","My experiences, my network, my time and passion."
Tryka Tryka (he/him),Program Director,GirlVentures,"Tryka is a Sober, White, Queer-Trans person born and raised Working Class in South Jersey, Tryka decided to take a chance at age 28 and enrolled as a student in an Outward Board course in 2002, where he immediately fell in love with Outdoor Education. He has been working in this field ever since.

During Tryka’s twenty one-year career in Wilderness Education, he has instructed and directed courses and programs all over the country primarily serving girls and queer young people.  Tryka’s experience includes work with the North Carolina Outward Bound School, Thompson Island Education Center, Passages Northwest (Bold and Gold), Positive Adventures and Point Reyes Outdoors. 

Tryka is grateful to have been trained and mentored by some of the best youth workers in Outdoor Education and considers it a privilege to pass on these teachings.  He has a deep commitment to social justice work, and to making this field more accessible. When Tryka is not working he’s drinking coffee in the backyard with his Lil Cat, tending his garden, and dancing with friends.",Equitable access to nature,success stories
Ruth Kihiu (no preference),Head of Programmes and Operations,Pastoralist Women's Council (PWC),"Social, economic, political and cultural rights of indigenous pastoralist women and girls especially in the following areas: poverty reduction, access to quality education for pastoralist girls, women rights, social norms transformation, sexual reproductive health (SRH), gender equity and justice, social justice, climate change adaptation and justice, and economic empowerment and micro-credit for pastoralist women.",Great connections and a platform to share our work and attract new donor and investment support.,"Lessons and proven interventions/tools developed in the last 25 years to empower indigenous pastoralist women, girls and communities."
Consolata Achieng Norbertus (she/her),Director,TheMango Tree Orphan Support Trust,"Educational inequality, Sexual and Gender based violence, Income inequality, poverty and climate change","collaboration, partnership and support","Shared experience, collaboration and partnerships"
Sheila Muxlow (no preference),Associate Director,Indigenous Climate Action,"Working in allyship to build and grow an Indigenous-led climate justice organization in support of Indigenous leadership, legal frameworks, and worldviews within strategies for climate solutions. Strengthening embodied action for healing justice and exploring possibilities that build relational capacity to address the inequities and injustices between settler and Indigenous people in the territories of so-called Canada",Moving at the speed of  trust to build understandings of our various capacities and needs. Leaning into conversations with curiosity for ‘How do we work together for the collective liberation of all beings?’,Courageous vulnerability. Open heartedness.  Stories of relational accountability and the value of experimenting with practices of healing justice for collective care in strategies for climate justice.   Exploratory conversations for strategies that seek to build new infrastructure and processes to address root causes of the inequities and injustices we are experiencing today.
Clara Desalvo (she/her),"Global Monitoring, Evaluation and Learning Manager",FRIDA The Young Feminist Fund,"Through a participatory grantmaking model, FRIDA provides flexible and long-term funding along with capacity-strengthening support for young feminist organizers across the global South to bring social justice and gender equity to philanthropy. FRIDA seeks to shift philanthropic power dynamics. The feminist MEL team seeks to amplify the voices of girls, women, the LGBTQI+ community, and indigenous people, and bring attention to the social justice issues they care about.","It would be interesting to exchange experiences and practices of different ways of learning and alternative approaches to understand their impact. 

Together with two other feminist funders, we are launching a MEL community of practice. We invite colleagues and donors to join our emerging learning conversations.","A decolonial monitoring, evaluation, and learning approach to philanthropy. Share feminist and participatory MEL practices to expand our understanding of knowledge production, and embrace the fact that there are many ways of knowing- and by doing so, we can design MEL systems and tools that shift power to those that we serve"
Alexis Simbayobewe (he/him),Executive Director,Sheer Love Rwanda,"Alexis believes that development should be inclusive for sustainability. His work focuses on providing resources to vulnerable children, especially street children, so they can dream again and pursue their dreams through education.","Alexis strongly agrees that sharing knowledge and resources is the best way to create a long-lasting impact. He is looking for connections to help him learn, grow, and share his experience with other leaders. He looks forward to meeting people connected to social work, especially working with children, fundraising organizers, mentors in the field, and others.","Alexis is willing to contribute to the OC community by sharing his experience and skills with delegates. He has been working with street children in Rwanda and is thus well-equipped with nonprofit operations in Africa. He is willing to provide mentorship to young leaders working in social work, specifically in relation to children and youth."
Rocio Perez Ochoa (she/her),CEO,Bidhaa Sasa,"I own and run last-mile distribution company in Kenya and Uganda, where we are improving the living conditions of rural women with appliances and equipment women use for their daily tasks.","Other companies designing and building products suited for rural women in East Africa. Funders: equity, debt and grants","8 years running and owning business, expert in all gender-related things, how to build something from scratch and remotely!"
Katy Troyer (she/her),Executive Director,KGSA Foundation,,,
Yanina Taneva (she/her),CEO,Ideas factory/ Baba Residence,"Restoring the missing social tissue connecting rural areas with resources trough inter-generational, economic and community driven solutions",How to scale the work we have already done for the last years,"Beyond everything else I do, I am facilitator and certified psychodrama therapist - I am good with groups and facilitating processes is something I love to contribute with!"
Rebecca Raymond (she/her),Director of Operations,The Foundation for Community Development and Empowerment,,,
Jeff Pilisuk (he/him),"Director, Partnerships",Miller Center for Social Entrepreneurship,"I am a fierce advocate of the global social enterprise movement. a leader in the global social enterprise movement. My work with Miller Center focuses on the themes of climate resilience and women’s economic empowerment, as key pathways to accelerate social entrepreneurship to end poverty and protect the planet. Located at Santa Clara University, we have served more than 1,300 social entrepreneurs based in over 100 countries that have impacted hundreds of millions of lives. Our work fuses the entrepreneurial spirit of Silicon Valley with the university’s heritage of social justice, community engagement, and global impact, guided by the UN Sustainable Development Goals","I'm seeking to connect with other individuals and mission-aligned organizations that are interested making change by building the social enterprise ecosystem.  No organization or person can do this alone so we need to support the ideas, innovations, and entrepreneurs that making a measurable impact. 

More specifically, I am looking for: 1) funding partners who want to support Miller Center's mission and programs","I am happy to share my expertise, ideas, feedback, and networks with others in the OC community."
Anne Wadsworth (she/her),Executive Director,Girls Education Collaborative,,,
George Tsiatis (he/him),CEO & Co-Founder,The Resolution Project,,,
Ali Guloba (he/him),Co-Founder,Rabbits for Tomorrow,,,
Owomugisha Fortunate (she/her),Student,OC365 Delegate,,,
Jamila Brown (she/her),Founder and Principal,HUE,I helped author a report called Broke about changing the narrative on poverty. I am also working with Black organizers in Panama and Colombia to close the racial wealth gap.,I am very interested in grant support to conduct communications trainings for Black Colombian and Panamanian activists working at the intersection of race and poverty.,I would love to share the findings of the Broke report and work on shaping narratives to change how we think about poverty globally.
Amanda L'Esperance (she/her),Development Director,TeachUNITED,,,
Francis Ocaaki (he/him),Volunteer,Uganda Red Cross Society,,,
Christine Nakangu (she/her),Poverty Controller,Resolution,,,
Jessica Love (she/her),Executive Director,Daring Girls (formerly AfricAid),,,
Vinod Lobo (he/him),CEO,Learning Upgrade,,,
Abhinav Khanal (he/him),Executive Director,Bean Voyage,,,
Laura Dedominicis (she/her),Executive Director,Nurturing Minds,,,
Haneen Khalaf (she/her),Director of Global Business Development,Learning Upgrade,"We are bringing award-winning education to the hardest to reach areas of the world. Since our program is available on any smartphone, tablet, or laptop, we are circumventing many barriers to quality to education that exist (transportation costs, gender norms, time poverty). Our program offers curriculum that advances economic empowerment (financial literacy, digital literacy, work/life skills) and opens new and better opportunities for people living in underserved communities.","We are hoping to partner with implementation partners who have trusting relationships with people who can benefit from the education program; companies that can provide hardware - laptops, tablets, smartphones and connectivity (telecom and internet providers), and funders who can help us carry out the work.",We are willing to partner with all OC organizations to contribute cost-free Learning Upgrade pilots with any numbers of individuals served by the organizations.
Heather Hiebsch (she/her),Co-Founder / CEO,TeachUNITED,"1) Education 2) Teacher Coaching & Capacity Building 3) Impact: Keeping girls in school longer, helping more kids graduate, keeping the best teachers from leaving the profession.",Expanded networks for program partnerships and funding. Thought-partners for strategic planning on scale and messaging.,"Guidance on rigorous impact evaluation, global teams, strategic planning, education leadership."
Melissa Diamond (no preference),Founder & Executive Director,A Global Voice for Autism,,,
Avary Kent (she/her),Chief People Officer,Spring Activator,,,
Abena Charity Azogmi (she/her),Student,Wobil Technology,"Wobil Technologies is an agricultural enterprise that specializes 
in designing and constructing machinery used for rice threshing. The rice threshers 
won't be sold","Connection, Understanding and willing to learn for other",my time and network with other delegates
Grace Aguti (she/her),Fellow,Resolution Project,"I am actively engaged in initiatives that promote inclusivity, equal opportunities, and empowerment. Specifically, within the agricultural sector, I strive to address disparities and promote equity by focusing on the presence and participation of women and youth in agricultural entrepreneurship. I believe in creating an environment where everyone has equal access to resources, education, and opportunities, regardless of their background or gender.
Through my involvement in youth support platforms such as the YOUNGA Forum, I contribute to discussions and initiatives that aim to address social and economic inequalities. Furthermore, through the co-founding of Pura Vida, I am actively working on ensuring food security, which is an essential aspect of social and economic justice. By focusing on reliable food production and efficient drying processes, we aim to mitigate food scarcity and promote economic stability within communities.","I am looking to Build connections and partnerships with other delegates and organizations working towards similar goals. By joining forces and sharing resources, knowledge, and expertise, we can create a more powerful collective impact.","Drawing from my experience as a peer coach, I offer mentorship and guidance to those seeking support, especially in youth career development endeavours.
As an agronomic engineer. I am happy to offer insights and technical guidance on topics such as crop production, soil management, pest control, and sustainable farming practices to optimize agricultural operations and improve productivity.
I also offer training sessions or workshops on agronomic principles, techniques, and technologies to enhance crop productivity and mitigate environmental impacts."
Sènami Irène Bossavi (she/her),Co-Founder,TOP FARM,,,
Susan Sena Azasoo (she/her),Founder,Save Our Soles,,,
